id grade class gender
1 5 16 0
2 3 10 1
3 3 11 0
4 3 11 0
5 3 11 1
6 3 9 0
7 3 10 1
8 5 17 1
9 1 5 1
10 0 1 1
11 1 3 1
12 2 8 1
13 0 0 1
14 3 10 0
15 2 7 1
16 1 3 0
17 4 14 1
18 6 18 1
19 1 3 0
20 0 2 1
21 1 4 0
22 4 13 0
23 2 8 0
24 1 4 0
25 3 9 0
26 4 13 1
27 6 18 0
28 2 6 0
29 3 9 0
30 2 7 0
31 5 15 1
32 2 6 1
33 0 1 1
34 5 17 1
35 5 16 0
36 2 6 1
37 3 9 1
39 4 13 0
41 4 13 1
42 3 12 0
43 1 5 1
44 3 9 1
45 3 11 0
46 6 18 0
47 2 7 0
48 3 11 0
49 5 15 0
50 3 10 1
51 3 10 1
52 6 18 0
53 5 16 1
54 6 20 1
55 4 13 0
57 4 14 0
58 4 14 0
59 2 6 1
60 2 7 1
61 5 17 1
63 6 20 1
64 5 16 1
65 3 11 1
66 3 11 0
67 3 9 0
69 6 19 1
70 6 20 0
71 0 1 0
72 3 9 1
73 1 5 0
74 1 3 0
75 4 14 1
76 6 20 0
77 1 5 0
78 3 9 1
79 6 20 1
80 1 4 0
82 4 13 1
83 1 4 0
84 0 0 0
85 3 10 0
86 0 0 1
87 6 20 1
88 5 16 1
89 3 11 0
90 5 16 0
91 2 7 1
92 1 5 0
93 3 10 1
94 5 16 1
95 0 0 0
96 4 14 0
97 5 17 0
98 5 17 1
100 6 19 0
101 0 1 0
102 5 17 1
103 5 15 1
105 3 10 1
106 3 10 0
107 5 16 1
109 3 11 0
110 3 11 1
111 1 3 1
112 5 16 1
113 3 9 0
114 3 9 1
115 0 2 0
116 1 5 1
117 5 17 0
118 0 1 0
119 2 7 1
121 5 16 0
124 4 13 0
125 6 20 1
126 4 13 1
127 4 14 1
128 6 20 0
129 1 5 1
130 6 18 1
131 0 1 1
132 3 9 1
133 3 11 1
134 4 14 0
135 5 16 1
136 2 8 0
137 3 10 1
138 4 14 1
139 5 16 1
141 2 6 1
143 1 4 1
144 3 9 0
145 4 14 1
146 2 8 0
147 5 17 0
148 0 2 1
149 1 4 1
150 4 13 0
152 1 3 0
153 6 20 0
154 3 10 1
155 2 7 1
156 2 8 1
157 3 10 1
158 5 17 0
159 6 20 0
160 3 11 0
161 2 8 1
162 2 8 1
163 3 9 1
164 0 0 1
166 4 13 1
167 3 10 1
168 4 14 0
169 3 9 1
170 0 0 1
171 6 18 1
173 2 6 1
174 0 2 0
175 5 16 1
176 0 2 1
177 0 0 1
178 2 6 0
179 6 20 1
180 1 5 1
182 4 14 1
183 3 9 0
184 3 12 0
185 5 15 0
186 1 4 1
187 5 17 1
188 1 3 1
189 5 15 1
190 6 20 0
191 1 4 0
192 6 19 1
193 1 3 1
194 1 5 1
195 5 16 0
196 2 7 0
197 5 15 1
198 3 9 1
199 4 12 1
200 5 16 1
201 6 18 1
202 5 15 0
203 3 10 0
204 2 6 0
205 6 19 1
206 2 7 1
207 2 6 0
208 6 19 1
209 6 18 0
210 0 0 1
211 6 19 1
213 3 10 1
214 2 8 1
215 2 6 1
216 1 5 1
217 3 11 1
220 6 18 0
221 6 19 1
222 5 16 1
223 2 8 0
224 2 7 0
225 2 7 1
226 2 8 1
227 5 15 1
228 6 19 0
229 1 3 1
230 3 10 1
231 1 5 1
232 6 19 0
233 0 1 1
234 3 9 0
235 2 8 0
236 6 18 0
237 2 7 0
238 6 19 0
239 3 9 1
241 0 0 1
243 0 0 1
244 3 10 0
245 5 16 0
246 1 5 1
247 1 3 1
248 6 18 0
249 2 7 1
250 0 2 0
251 5 17 1
252 5 16 1
253 5 16 1
254 4 14 0
255 4 13 1
256 5 15 0
257 4 14 1
258 0 0 1
259 5 15 1
260 6 20 0
261 6 19 1
262 0 1 1
263 0 0 1
265 3 10 0
266 1 4 1
267 0 2 1
268 5 15 1
269 5 17 1
270 2 6 1
271 1 5 0
272 6 19 0
273 1 5 0
274 3 9 0
275 4 13 0
276 4 13 1
277 1 4 1
278 3 11 1
279 2 8 1
280 6 18 0
282 5 16 0
283 4 13 0
284 6 18 1
285 5 17 0
286 6 19 1
287 5 16 1
288 1 4 0
289 3 9 1
290 6 18 0
292 6 19 0
293 1 3 1
294 6 19 0
295 5 17 0
296 5 17 0
297 2 7 0
298 4 13 1
299 3 9 0
300 6 18 1
301 1 3 1
302 1 4 1
303 3 9 0
304 5 17 1
305 4 14 0
306 5 16 0
307 5 15 0
308 6 18 1
309 1 5 1
310 5 17 1
311 3 10 0
312 5 15 1
313 6 20 1
314 6 18 0
315 4 14 1
316 1 4 1
317 3 12 0
318 6 19 0
319 4 13 1
320 6 19 0
322 1 4 0
323 5 15 0
324 5 15 1
325 0 0 0
326 6 18 1
327 4 14 0
328 1 4 1
329 0 0 0
330 1 5 0
331 2 6 0
332 3 11 0
333 1 3 0
334 1 4 0
335 4 12 1
336 0 2 1
337 2 8 0
338 1 3 0
339 0 2 0
340 5 15 0
341 1 5 0
342 5 16 1
343 2 7 0
344 5 17 1
345 4 13 0
346 4 13 0
347 1 3 1
348 0 0 0
349 2 7 1
350 5 15 1
351 4 13 0
352 2 6 0
353 2 7 1
354 3 11 1
355 6 19 0
357 1 4 0
359 3 12 0
360 6 19 1
361 3 9 1
362 5 17 1
364 4 14 0
365 6 20 1
366 3 11 1
367 6 19 1
368 3 11 1
369 2 8 0
