id grade gender
2 7 0
3 8 1
4 8 0
5 7 1
6 8 1
7 7 1
9 8 1
11 7 1
12 7 1
13 7 0
14 8 1
15 8 0
16 7 1
17 8 1
18 7 0
19 7 1
20 7 1
21 7 0
22 8 0
23 8 1
24 7 0
25 7 1
26 8 1
27 7 0
28 8 1
29 8 1
30 7 0
31 8 1
32 7 1
33 7 1
35 7 0
36 8 0
37 7 0
38 8 1
39 8 1
40 8 0
41 8 1
42 8 1
43 8 0
44 7 1
45 8 0
46 7 0
47 7 1
48 7 0
49 8 1
50 7 0
51 8 1
52 7 0
53 8 1
54 7 1
55 7 1
56 7 0
58 8 1
59 7 1
60 8 1
61 8 1
62 7 0
63 7 1
64 8 0
65 8 -1
66 8 1
67 7 0
68 8 1
69 -1 1
70 8 0
71 7 0
72 7 0
73 7 0
74 8 0
75 7 0
76 8 0
77 8 1
78 8 0
79 8 1
80 7 0
81 8 1
82 7 1
83 7 0
84 7 0
85 8 1
86 8 -1
87 7 0
88 8 0
89 8 0
90 8 0
91 8 0
92 7 1
93 7 1
94 7 1
95 8 0
96 7 0
97 8 0
98 8 0
99 8 0
100 7 0
101 8 0
102 7 0
103 7 1
104 7 0
105 7 0
106 7 1
107 8 1
108 7 0
109 7 0
110 7 1
111 -1 1
113 8 0
114 7 0
115 8 0
116 8 0
117 8 1
118 7 0
119 7 0
120 8 1
121 8 0
122 8 1
123 8 0
124 8 1
125 7 0
126 7 1
127 8 1
128 8 0
129 8 1
130 8 1
131 7 0
132 7 0
133 8 1
134 8 0
135 8 1
136 7 0
137 8 0
138 8 1
139 8 1
140 -1 0
141 8 1
142 8 1
143 7 1
144 8 1
145 7 0
146 8 1
147 7 1
148 8 1
149 8 1
150 8 0
151 8 1
152 8 1
153 7 0
154 7 0
155 8 0
156 7 0
157 7 0
158 7 1
159 8 0
160 8 1
161 8 1
162 8 0
163 7 1
164 8 -1
166 8 0
167 7 0
168 7 1
169 8 0
170 8 1
171 8 1
172 7 1
173 8 1
174 7 1
175 7 1
176 8 1
177 7 1
178 8 -1
179 7 1
180 8 1
181 7 1
183 7 1
184 7 0
185 8 1
186 8 1
187 8 0
188 7 1
189 8 -1
190 7 1
191 8 0
192 8 1
193 7 0
194 8 0
195 8 1
196 8 1
197 7 1
198 8 1
199 8 -1
200 8 0
201 7 1
202 8 0
203 8 0
204 8 0
205 8 1
206 7 0
207 7 0
208 7 0
209 7 1
210 7 1
211 7 1
212 7 0
213 8 0
214 8 0
215 7 1
217 7 1
218 8 1
219 8 1
221 7 1
222 7 0
223 8 0
224 7 0
225 8 1
226 8 -1
227 8 1
228 7 0
229 8 1
230 8 0
231 7 0
232 8 0
233 8 -1
234 7 1
235 7 1
236 8 1
237 8 1
238 8 1
239 8 -1
240 8 0
241 8 1
242 7 1
243 7 0
244 7 0
245 8 1
246 -1 0
247 7 0
248 7 1
249 7 0
250 8 1
251 8 1
252 8 0
254 8 0
255 8 0
256 7 0
257 7 1
258 7 1
259 8 1
260 8 1
261 7 0
262 7 0
263 7 0
264 7 1
265 7 1
266 8 1
267 7 1
268 8 1
270 8 1
272 8 1
273 8 1
274 7 0
275 7 0
276 7 0
277 8 1
278 8 1
279 7 1
280 8 1
281 7 0
282 8 0
283 8 0
284 7 0
285 8 0
286 8 0
287 7 1
288 7 0
289 7 0
291 8 1
292 8 0
293 8 0
294 8 1
295 8 0
296 7 0
297 8 -1
298 7 0
299 8 1
300 8 0
301 7 0
302 8 0
303 8 -1
304 7 0
305 8 1
306 8 -1
307 8 1
309 8 0
310 8 0
311 7 1
312 8 1
313 7 1
314 7 0
315 7 1
316 8 0
317 7 1
318 7 0
319 8 0
320 8 0
321 7 0
322 7 1
323 8 0
324 7 1
325 8 0
326 7 0
327 8 1
328 7 0
329 8 1
330 7 1
331 7 0
332 7 0
333 8 1
334 7 0
336 8 1
337 8 0
340 7 1
341 7 1
342 8 0
343 8 0
344 7 1
345 8 1
346 8 0
347 8 0
348 8 0
349 8 1
350 7 1
351 7 1
352 8 1
353 7 1
354 7 1
355 -1 0
356 7 0
357 7 0
358 7 0
359 8 0
360 8 0
361 8 -1
362 8 1
363 7 1
364 7 0
365 8 0
366 7 0
367 7 0
368 8 1
369 7 0
370 8 0
371 7 1
372 7 1
373 7 0
374 8 1
375 8 -1
376 8 0
377 7 1
378 7 1
379 7 1
380 7 0
381 7 0
382 7 1
383 7 1
384 8 1
385 7 0
386 7 1
387 7 0
388 7 0
389 7 0
390 7 1
391 7 1
392 8 1
393 7 0
394 7 0
395 7 0
396 7 1
398 7 0
399 8 1
400 7 0
401 7 1
402 7 1
403 7 1
404 7 0
405 7 0
406 8 0
407 8 1
408 8 1
409 7 1
410 7 0
411 7 0
412 8 0
413 8 0
414 7 0
415 8 0
416 7 0
417 8 1
418 8 0
419 7 1
420 7 1
421 8 1
422 7 0
424 7 1
425 7 1
426 8 0
427 7 1
428 8 1
429 7 1
430 7 0
431 7 1
432 7 1
433 7 1
434 7 1
435 8 0
436 7 0
437 7 1
438 7 0
439 8 1
440 7 1
441 7 1
442 7 0
443 7 0
444 7 1
445 7 0
446 8 1
447 8 1
448 8 0
449 7 1
450 7 0
451 7 1
452 7 0
453 7 0
455 8 0
456 7 0
457 8 1
459 7 0
460 7 1
461 8 0
462 7 0
463 8 0
464 8 1
465 7 0
466 7 1
467 7 1
468 7 1
469 7 0
470 7 1
471 7 1
472 8 1
473 7 0
474 7 0
475 8 0
476 8 1
477 7 0
478 7 1
479 7 1
480 7 1
481 8 1
482 7 0
483 7 1
484 7 1
485 7 1
486 7 1
487 7 1
488 7 0
489 8 1
490 8 0
491 7 0
492 8 0
493 7 1
494 7 0
495 7 0
496 8 0
497 7 0
498 8 0
499 7 1
500 7 1
501 7 1
502 8 0
503 7 0
504 8 1
505 8 0
506 7 1
507 7 1
508 7 0
509 8 1
510 7 0
511 7 1
512 7 1
514 7 0
515 7 0
516 8 0
517 8 1
519 8 1
520 7 1
521 7 0
522 8 0
523 7 0
524 7 0
525 7 0
526 7 0
527 7 0
528 8 1
529 8 0
530 7 1
531 7 1
532 8 0
533 7 1
534 7 1
535 8 1
536 7 0
537 7 0
538 7 1
539 8 0
540 7 0
541 7 0
542 8 0
543 7 0
544 8 1
545 7 0
546 7 1
547 7 1
548 7 0
550 7 1
552 7 0
553 7 1
554 7 1
555 7 0
556 7 1
557 7 1
558 7 1
559 7 1
560 8 0
561 7 0
562 8 0
563 7 0
564 8 0
565 7 1
566 7 1
568 8 0
569 8 0
570 8 1
571 8 0
572 8 1
573 7 0
574 7 1
575 8 0
576 7 1
577 7 1
578 8 1
579 7 0
580 7 0
581 8 0
582 7 1
583 7 0
584 8 0
